-----------------------------------------------------------------------------------------------------
20日21时20分15秒Info:System');"成功[BP.Port.Emp-1]放入缓存。
20日21时20分26秒Info:System');"成功[BP.Sys.EnsAppCfg-26]放入缓存。
20日21时20分26秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Models@WinCardH
20日21时20分26秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Models@WinCardW
20日21时20分58秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.TouGaos@WinCardH
20日21时20分58秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.TouGaos@WinCardW
20日21时20分58秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.TouGaos@UIRowStyleGlo
20日21时20分58秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.TouGaos@IsEnableDouclickGlo
20日21时20分58秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.TouGaos@IsEnableRefFunc
20日21时20分58秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.TouGaos@IsEnableFocusField
20日21时20分58秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.TouGaos@IsEnableOpenICON
20日21时20分58秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.TouGaos@FocusField
20日21时20分58秒Info:System');"成功[BP.Sys.EnsAppCfg-36]放入缓存。
20日21时21分00秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Models@UIRowStyleGlo
20日21时21分00秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Models@IsEnableDouclickGlo
20日21时21分00秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Models@IsEnableRefFunc
20日21时21分00秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Models@IsEnableFocusField
20日21时21分00秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Models@IsEnableOpenICON
20日21时21分00秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Models@FocusField
20日21时21分01秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.ModelDtls@WinCardH
20日21时21分01秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.ModelDtls@WinCardW
20日21时21分01秒Info:System');"成功[BP.Sys.EnsAppCfg-44]放入缓存。
20日21时21分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.ModelDtls@UIRowStyleGlo
20日21时21分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.ModelDtls@IsEnableDouclickGlo
20日21时21分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.ModelDtls@IsEnableRefFunc
20日21时21分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.ModelDtls@IsEnableFocusField
20日21时21分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.ModelDtls@IsEnableOpenICON
20日21时21分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.ModelDtls@FocusField
20日21时23分38秒Info:System');"成功[BP.Sys.EnsAppCfg-50]放入缓存。
20日21时23分40秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Infos@WinCardH
20日21时23分40秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Infos@WinCardW
20日21时23分46秒Info:System');"成功[BP.Sys.EnsAppCfg-52]放入缓存。
20日21时23分46秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Infos@UIRowStyleGlo
20日21时23分46秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Infos@IsEnableDouclickGlo
20日21时23分46秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Infos@IsEnableRefFunc
20日21时23分46秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Infos@IsEnableFocusField
20日21时23分46秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Infos@IsEnableOpenICON
20日21时23分46秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Infos@FocusField
20日21时23分47秒Info:System');"成功[BP.Sys.EnsAppCfg-58]放入缓存。
20日21时23分56秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时23分56秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时23分56秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时23分56秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.Infos@EditerType
-----------------------------------------------------------------------------------------------------
20日21时36分01秒Info:System');"成功[BP.Port.Emp-1]放入缓存。
20日21时36分35秒Info:System');"成功[BP.Sys.EnsAppCfg-59]放入缓存。
20日21时36分50秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoModels@WinCardH
20日21时36分50秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoModels@WinCardW
20日21时36分51秒Info:System');"成功[BP.Sys.EnsAppCfg-61]放入缓存。
20日21时36分51秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoModels@UIRowStyleGlo
20日21时36分51秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoModels@IsEnableDouclickGlo
20日21时36分51秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoModels@IsEnableRefFunc
20日21时36分52秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoModels@IsEnableFocusField
20日21时36分52秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoModels@IsEnableOpenICON
20日21时36分52秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoModels@FocusField
20日21时36分54秒Info:System');"成功[BP.Sys.EnsAppCfg-67]放入缓存。
20日21时36分54秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoItems@WinCardH
20日21时36分54秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoItems@WinCardW
20日21时36分56秒Info:System');"成功[BP.Sys.EnsAppCfg-69]放入缓存。
20日21时36分56秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoItems@UIRowStyleGlo
20日21时36分56秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoItems@IsEnableDouclickGlo
20日21时36分56秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoItems@IsEnableRefFunc
20日21时36分56秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoItems@IsEnableFocusField
20日21时36分56秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoItems@IsEnableOpenICON
20日21时36分56秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.InfoItems@FocusField
20日21时36分58秒Info:System');"成功[BP.Sys.EnsAppCfg-75]放入缓存。
20日21时40分26秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时40分26秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
20日21时40分26秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
-----------------------------------------------------------------------------------------------------
20日21时45分19秒Info:System');"成功[BP.Port.Emp-1]放入缓存。
-----------------------------------------------------------------------------------------------------
20日21时50分33秒Info:System');"成功[BP.Sys.EnsAppCfg-75]放入缓存。
20日21时50分49秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
20日21时50分49秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.Info
