-----------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------
22日14时57分47秒Info:System');"成功[BP.Port.Emp-1]放入缓存。
22日14时57分56秒Info:System');"成功[BP.Sys.EnsAppCfg-75]放入缓存。
22日14时57分56秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.CBuessTypes@WinCardH
22日14时57分56秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.CBuessTypes@WinCardW
22日14时58分05秒Info:System');"成功[BP.Sys.EnsAppCfg-77]放入缓存。
22日14时58分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.CBuessTypes@UIRowStyleGlo
22日14时58分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.CBuessTypes@IsEnableDouclickGlo
22日14时58分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.CBuessTypes@IsEnableRefFunc
22日14时58分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.CBuessTypes@IsEnableFocusField
22日14时58分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.CBuessTypes@IsEnableOpenICON
22日14时58分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.YG.CBuessTypes@FocusField
22日14时58分07秒Info:System');"成功[BP.YG.ZJType-3]放入缓存。
22日14时58分20秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
22日14时58分20秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.ZJType
22日14时58分20秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
22日14时58分28秒Info:System');"成功[BP.Sys.EnsAppCfg-83]放入缓存。
22日14时58分32秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
22日14时58分32秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.CBuessType
22日14时58分32秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
22日14时59分43秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
22日14时59分43秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.CBuessType
22日14时59分43秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
22日14时59分43秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
22日14时59分43秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.CBuessType
22日14时59分43秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
22日14时59分50秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
22日14时59分50秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.CBuessType
22日14时59分50秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
22日15时00分01秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
22日15时00分01秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.YG.CBuessType
22日15时00分01秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
22日15时00分01秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
