-----------------------------------------------------------------------------------------------------
28日00时18分47秒Info:System');"成功[BP.Port.Emp-45]放入缓存。
28日00时18分48秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
28日00时19分00秒Info:System');"成功[BP.WF.Node-89]放入缓存。
-----------------------------------------------------------------------------------------------------
28日10时44分39秒Info:System');"成功[BP.Port.Emp-45]放入缓存。
28日10时44分41秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
28日10时53分02秒Info:System');"成功[BP.WF.Flow-19]放入缓存。
28日10时53分04秒Fatal:System');"@没有[映射基础  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = DocType
28日10时53分04秒Fatal:System');"@没有[映射基础  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = XWType
28日10时53分18秒Fatal:System');"@没有[映射基础  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = DocType
28日10时53分18秒Fatal:System');"@没有[映射基础  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = XWType
28日10时53分18秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
28日10时53分30秒Info:System');"成功[BP.WF.Node-91]放入缓存。
28日10时53分30秒Info:System');"成功[BP.WF.Flow-19]放入缓存。
28日10时54分07秒Info:System');"成功[BP.WF.Node-92]放入缓存。
28日10时54分12秒Info:System');"成功[BP.WF.Node-92]放入缓存。
28日10时54分21秒Info:System');"成功[BP.WF.Node-92]放入缓存。
28日10时54分48秒Info:System');"成功[BP.WF.Node-93]放入缓存。
28日10时55分34秒Info:System');"成功[BP.WF.Node-94]放入缓存。
28日10时55分58秒Info:System');"成功[BP.WF.Node-95]放入缓存。
28日10时56分28秒Info:System');"成功[BP.WF.Node-96]放入缓存。
28日10时56分53秒Info:System');"成功[BP.WF.Node-96]放入缓存。
28日10时57分03秒Info:System');"成功[BP.WF.Node-96]放入缓存。
28日10时58分09秒Info:System');"成功[BP.WF.Node-96]放入缓存。
28日10时58分42秒Info:System');"成功[BP.WF.Node-96]放入缓存。
28日11时27分02秒Info:System');"成功[BP.WF.Node-96]放入缓存。
28日14时34分15秒Info:System');"成功[BP.WF.Node-96]放入缓存。
28日14时35分50秒Info:System');"成功[BP.WF.Flow-20]放入缓存。
28日14时35分51秒Fatal:System');"@没有[映射基础  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = DocType
28日14时35分51秒Fatal:System');"@没有[映射基础  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = XWType
28日14时35分55秒Info:System');"成功[BP.WF.Node-98]放入缓存。
