-----------------------------------------------------------------------------------------------------
19日11时12分59秒Info:System');"成功[BP.Port.Emp-12]放入缓存。
19日11时13分00秒Info:System');"成功[BP.WF.FlowSort-6]放入缓存。
19日11时13分11秒Info:System');"成功[BP.WF.Node-50]放入缓存。
19日11时13分11秒Info:System');"成功[BP.WF.Flow-13]放入缓存。
19日11时21分14秒Info:System');"成功[BP.WF.Node-50]放入缓存。
19日13时05分31秒Info:System');"成功[BP.WF.Node-50]放入缓存。
-----------------------------------------------------------------------------------------------------
19日13时46分14秒Info:System');"成功[BP.Port.Emp-1877]放入缓存。
19日13时46分15秒Info:System');"成功[BP.WF.FlowSort-7]放入缓存。
19日13时46分20秒Info:System');"成功[BP.WF.Node-194]放入缓存。
19日13时46分20秒Info:System');"成功[BP.WF.Flow-26]放入缓存。
19日13时46分20秒Fatal:System');"RunSQL2   SQL=UPDATE WF_Node SET FK_FlowSort=(SELECT FK_FlowSort FROM WF_Flow WHERE NO=WF_NODE.FK_FLOW)Invalid column name 'FK_FlowSort'.
19日13时46分29秒Fatal:System');"RunSQL2   SQL=UPDATE WF_Node SET FK_FlowSort=(SELECT FK_FlowSort FROM WF_Flow WHERE NO=WF_NODE.FK_FLOW)Invalid column name 'FK_FlowSort'.
19日13时46分38秒Fatal:System');"RunSQL2   SQL=UPDATE WF_Node SET FK_FlowSort=(SELECT FK_FlowSort FROM WF_Flow WHERE NO=WF_NODE.FK_FLOW)Invalid column name 'FK_FlowSort'.
19日13时54分34秒Fatal:System');"RunSQL2   SQL=UPDATE WF_Node SET FK_FlowSort=(SELECT FK_FlowSort FROM WF_Flow WHERE NO=WF_NODE.FK_FLOW)Invalid column name 'FK_FlowSort'.
