-----------------------------------------------------------------------------------------------------
24日18时14分12秒Info:System');"成功[BP.Port.Emp-1]放入缓存。
24日18时14分17秒Info:System');"成功[BP.Sys.EnsAppCfg-93]放入缓存。
24日18时15分45秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时15分45秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.Info
24日18时15分45秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分11秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分11秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.InfoSort
24日18时16分11秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分17秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分17秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.InfoSort
24日18时16分17秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分17秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分17秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.InfoSort
24日18时16分17秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分29秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分29秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.InfoSort
24日18时16分29秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分29秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分29秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.InfoSort
24日18时16分29秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分31秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分31秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.InfoSort
24日18时16分31秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分31秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分31秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.InfoSort
24日18时16分31秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分42秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分42秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.InfoSort
24日18时16分42秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分42秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时16分42秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.InfoSort
24日18时16分42秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时17分02秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时17分02秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.InfoSort
24日18时17分02秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时17分05秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时17分05秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.InfoSort
24日18时17分05秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时17分11秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时17分11秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.Info
24日18时17分11秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时17分33秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时17分33秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnCfg,PKVal=BP.GE.Info
24日18时17分33秒Info:System');"成功[BP.Sys.EnCfg-0]放入缓存。
24日18时17分45秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.GE.Videos@Author
24日18时17分47秒Fatal:System');"@两次内存查询 EnName=BP.Sys.EnsAppCfg,PKVal=BP.GE.InfoReqs@AppName
24日18时17分56秒Info:System');"成功[BP.Port.Dept-0]放入缓存。
24日18时18分00秒Info:System');"成功[BP.Port.Dept-0]放入缓存。
